Pharynx muscles
om5L
pm1DL
pm1DR
pm1L
pm1R
pm1VL
pm1VR
pm2DL
pm2DR
pm2L
pm2R
pm2VL
pm2VR
pm3DL
pm3DR
pm3L
pm3R
pm3VL
pm3VR
pm4DL
pm4DR
pm4L
pm4R
pm4VL
pm4VR
pm5DL
pm5DR
pm5R
pm5VL
pm5VR
pm6D
pm6VL
pm6VR
pm7D
pm7VL
pm7VR
pm8
